accession_count	accession	experiment_type	organism	_assay_groups_developmental_stage	_assay_groups_organism_part	_assay_groups_age	_assay_groups_genotype	_assay_groups_disease	_assay_groups_sex
2883	E-MEXP-3567	microarray_1colour_mrna_differential	Homo sapiens	infant	blood			Pneumococcal Meningitis and HIV negative; Pneumococcal Meningitis and HIV positive	female; female, male
2884	E-MEXP-3577	microarray_1colour_mrna_differential	Homo sapiens						
2885	E-MEXP-3582	microarray_1colour_mrna_differential	Homo sapiens		blood; palatine tonsil; umbilical cord				
2886	E-MEXP-3609	microarray_1colour_mrna_differential	Drosophila melanogaster	adult	second antennal segment				
2887	E-MEXP-3623	microarray_1colour_mrna_differential	Mus musculus	adult					mixed sex
2888	E-MEXP-3628	microarray_1colour_mrna_differential	Homo sapiens		bone			osteosarcoma	
2889	E-MEXP-3635	microarray_1colour_mrna_differential	Homo sapiens	adult	blood	18 to 42 year; 19 to 40 year			male
2890	E-MEXP-3641	microarray_1colour_mrna_differential	Homo sapiens		animal ovary	26 to 39 year			female
2891	E-MEXP-3678	microarray_1colour_mrna_differential	Rattus norvegicus	neonate	heart	2 to 4 day			
2892	E-MEXP-3680	microarray_1colour_mrna_differential	Arabidopsis thaliana		basal 1–9 cm of 25 cm high stems	4 to 6 week			
2893	E-MEXP-3682	microarray_1colour_mrna_differential	Homo sapiens		breast				
2894	E-MEXP-3685	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling		10 day			
2895	E-MEXP-3711	microarray_1colour_mrna_differential	Homo sapiens		spleen			thrombocytopenia	
2896	E-MEXP-3713	microarray_1colour_mrna_differential	Arabidopsis thaliana		whole organism	3 week			
2897	E-MEXP-3714	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling					
2898	E-MEXP-3715	microarray_1colour_mrna_differential	Homo sapiens	adult	colon	65 year, 36 year, 44 year, 72 year, 69 year, 74 year, 63 year, 84 year, 57 year, 78 year, 70 year, 62 year, 54 year		colorectal cancer	female, male
2899	E-MEXP-3725	microarray_1colour_mrna_differential	Homo sapiens		umbilical cord blood				female
2900	E-MEXP-3726	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	shoot	10 day			
2901	E-MEXP-3734	microarray_1colour_mrna_differential	Mus musculus		liver	21 week		non-alcoholic fatty liver disease; normal	
2902	E-MEXP-3739	microarray_1colour_mrna_differential	Rattus norvegicus	adult	kidney	12 week			male
2903	E-MEXP-3745	microarray_1colour_mrna_differential	Mus musculus	adult	thymus	10 week, 12 week; 15 week, 12 week, 10 week		acute graft vs. host disease	female
2904	E-MEXP-3747	microarray_1colour_mrna_differential	Drosophila melanogaster	larva	whole organism	92 to 93 hour			
2905	E-MEXP-3748	microarray_1colour_mrna_differential	Mus musculus						
2906	E-MEXP-3756	microarray_1colour_mrna_differential	Homo sapiens		blood			colorectal cancer	
2907	E-MEXP-3761	microarray_1colour_mrna_differential	Homo sapiens		skeletal muscle				
2908	E-MEXP-3763	microarray_1colour_mrna_differential	Mus musculus		liver	5 week			male
2909	E-MEXP-3766	microarray_1colour_mrna_differential	Mus musculus	adult	liver				male
2910	E-MEXP-3776	microarray_1colour_mrna_differential	Homo sapiens						female
2911	E-MEXP-3777	microarray_1colour_mrna_differential	Homo sapiens						female
2912	E-MEXP-3778	microarray_1colour_mrna_differential	Homo sapiens						female
2913	E-MEXP-3781	microarray_1colour_mrna_differential	Arabidopsis thaliana		stem	35 day			
2914	E-MEXP-3786	microarray_1colour_mrna_differential	Mus musculus		retina				male
2915	E-MEXP-3798	microarray_1colour_mrna_differential	Drosophila melanogaster	adult	mushroom body	5 to 7 day			
2916	E-MEXP-3807	microarray_1colour_mrna_differential	Mus musculus	adult	intestine			acute graft versus host disease	female
2917	E-MEXP-3814	microarray_1colour_mrna_differential	Mus musculus		bone marrow				female
2918	E-MEXP-3867	microarray_1colour_mrna_differential	Arabidopsis thaliana		whole organism	5 week			
2919	E-MEXP-3911	microarray_1colour_mrna_differential	Homo sapiens	adult	skin			melanoma	
2920	E-MEXP-3915	microarray_1colour_mrna_differential	Arabidopsis thaliana		inflorescence stem	35 day			
2921	E-MEXP-3922	microarray_1colour_mrna_differential	Mus musculus	postnatal		4 day			
2922	E-MEXP-3925	microarray_1colour_mrna_differential	Drosophila melanogaster	third instar larva stage	trachea	72 to 96 hour			mixed_sex
2923	E-MEXP-3982	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	female
2924	E-MEXP-3994	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism	5 day			
2925	E-MEXP-424	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling development stage	whole organism	9 day			
2926	E-MEXP-433	microarray_1colour_mrna_differential	Homo sapiens	adult	blood; bone marrow	44 year, 34 year, 18 year, 50 year, 58 year, 59 year, 27 year, 56 year, 64 year, 57 year, 41 year, 62 year, 54 year; 56 year, 64 year, 18 year, 57 year, 61 year, 50 year, 58 year		chronic myeloid leukemia	female, male
2927	E-MEXP-438	microarray_1colour_mrna_differential	Mus musculus	adult	liver	8 week			male
2928	E-MEXP-456	microarray_1colour_mrna_differential	Homo sapiens		liver			hepatocellular carcinoma	
2929	E-MEXP-466	microarray_1colour_mrna_differential	Homo sapiens		bone marrow	28 to 40 year			
2930	E-MEXP-475	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling		8 day			
2931	E-MEXP-490	microarray_1colour_mrna_differential	Mus musculus	adult	liver	8 to 9 week			male
2932	E-MEXP-495	microarray_1colour_mrna_differential	Mus musculus	adult	bone; intestine; kidney	8 to 9 week			male
2933	E-MEXP-502	microarray_1colour_mrna_differential	Arabidopsis thaliana	1 Boyes key	shoot apex	10 to 12 day			
2934	E-MEXP-503	microarray_1colour_mrna_differential	Arabidopsis thaliana	1.06 Boyes key	leaf				
2935	E-MEXP-509	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	rosette leaf	7 week			
2936	E-MEXP-548	microarray_1colour_mrna_differential	Homo sapiens						
2937	E-MEXP-549	microarray_1colour_mrna_differential	Homo sapiens					T cell acute lymphoblastic leukemia	
2938	E-MEXP-558	microarray_1colour_mrna_differential	Mus musculus		stria vascularis	13 day		deafness	
2939	E-MEXP-560	microarray_1colour_mrna_differential	Homo sapiens	adult	bone marrow				
2940	E-MEXP-563	microarray_1colour_mrna_differential	Homo sapiens						
2941	E-MEXP-567	microarray_1colour_mrna_differential	Homo sapiens	adult	brain			astrocytoma; glioblastoma	
2942	E-MEXP-582	microarray_1colour_mrna_differential	Mus musculus	adult	cardiac ventricle	230 to 250 day			female, male
2943	E-MEXP-586	microarray_1colour_mrna_differential	Homo sapiens	adult	blood				
2944	E-MEXP-634	microarray_1colour_mrna_differential	Mus musculus		skin	11 day			female
2945	E-MEXP-671	microarray_1colour_mrna_differential	Rattus norvegicus	adult	spinal cord				male
2946	E-MEXP-696	microarray_1colour_mrna_differential	Caenorhabditis elegans	L3					hermaphrodite
2947	E-MEXP-700	microarray_1colour_mrna_differential	Mus musculus	neonate		0 to 3 day			mixed sex
2948	E-MEXP-701	microarray_1colour_mrna_differential	Mus musculus	neonate	dermis	0 to 3 day			mixed sex
2949	E-MEXP-703	microarray_1colour_mrna_differential	Mus musculus	adult	skeletal muscle organ	2 month			male
2950	E-MEXP-710	microarray_1colour_mrna_differential	Mus musculus						
2951	E-MEXP-714	microarray_1colour_mrna_differential	Homo sapiens		liver			carcinoma	
2952	E-MEXP-722	microarray_1colour_mrna_differential	Arabidopsis thaliana	rosette growth stage	root	7 day			
2953	E-MEXP-731	microarray_1colour_mrna_differential	Mus musculus		hippocampus	14 day			male
2954	E-MEXP-739	microarray_1colour_mrna_differential	Arabidopsis thaliana			12-14 day			
2955	E-MEXP-740	microarray_1colour_mrna_differential	Homo sapiens		left vastus lateralis; right vastus lateralis	69 to 73 year			male
2956	E-MEXP-755	microarray_1colour_mrna_differential	Mus musculus	adult	thymus	6 week			mixed sex
2957	E-MEXP-76	microarray_1colour_mrna_differential	Homo sapiens		blood	18 year, 37 year, 19 year, 28 year; 38 year, 43 year, 47 year, 40 year, 46 year, 56 year		Common variable immunodeficiency; X-linked agammaglobulinemia	female, male; male
2958	E-MEXP-793	microarray_1colour_mrna_differential	Mus musculus	embryo		13.5 day			
2959	E-MEXP-804	microarray_1colour_mrna_differential	Homo sapiens		pancreas	64 year, 76 year, 65 year, 54 year		autoimmune pancreatitis	female, male
2960	E-MEXP-82	microarray_1colour_mrna_differential	Mus musculus	adult	liver	30 to 34 day			male
2961	E-MEXP-834	microarray_1colour_mrna_differential	Mus musculus	neonate	liver	15 day		DNA repair deficiency	male
2962	E-MEXP-835	microarray_1colour_mrna_differential	Mus musculus	neonate	liver	15 day			male
2963	E-MEXP-838	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism	10 day			
2964	E-MEXP-847	microarray_1colour_mrna_differential	Homo sapiens		bone	53.6 year, 55.7 year, 54.6 year, 57.7 year, 67 year, 75 year		primary hyperparathyroidism	female, male
2965	E-MEXP-849	microarray_1colour_mrna_differential	Arabidopsis thaliana		flower bud; seed				
2966	E-MEXP-856	microarray_1colour_mrna_differential	Mus musculus	adult	liver				
2967	E-MEXP-858	microarray_1colour_mrna_differential	Homo sapiens		bone marrow	31 year		normal	male
2968	E-MEXP-873	microarray_1colour_mrna_differential	Rattus norvegicus	adult	colon	8 week		colitis; experimental colitis	female
2969	E-MEXP-874	microarray_1colour_mrna_differential	Rattus norvegicus	adult	colon	8 week		colitis; experimental colitis	female
2970	E-MEXP-879	microarray_1colour_mrna_differential	Drosophila melanogaster	embryonic stage 11; embryonic stage 12		330 to 450 minute; 450 to 610 minute			
2971	E-MEXP-883	microarray_1colour_mrna_differential	Arabidopsis thaliana		above ground tissue plus roots	5 weeks			
2972	E-MEXP-886	microarray_1colour_mrna_differential	Mus musculus	adult	cerebellum	15 week			
2973	E-MEXP-891	microarray_1colour_mrna_differential	Mus musculus	adult	mammary gland	13 week			female
2974	E-MEXP-893	microarray_1colour_mrna_differential	Mus musculus	adult	liver	20 week			male
2975	E-MEXP-923	microarray_1colour_mrna_differential	Mus musculus	adult	esophageal epithelium				
2976	E-MEXP-930	microarray_1colour_mrna_differential	Homo sapiens	embryo					
2977	E-MEXP-939	microarray_1colour_mrna_differential	Mus musculus	adult	skeletal muscle				male
2978	E-MEXP-941	microarray_1colour_mrna_differential	Homo sapiens	adult	duodenum			normal	
2979	E-MEXP-948	microarray_1colour_mrna_differential	Rattus norvegicus	adult	prefrontal cortex			high stereotypy response; high stereotypy response post METH; low stereotypy response; low stereotypy response post METH	male
2980	E-MEXP-950	microarray_1colour_mrna_differential	Homo sapiens	adult	pancreas			pancreatic cancer	
2981	E-MEXP-976	microarray_1colour_mrna_differential	Rattus norvegicus	adult	dorsal root ganglion				male
2982	E-MEXP-980	microarray_1colour_mrna_differential	Homo sapiens	fetus	trachea	4 month		cystic fibrosis	
2983	E-MIMR-461	microarray_1colour_mrna_differential	Mus musculus						male
2984	E-MIMR-541	microarray_1colour_mrna_differential	Rattus norvegicus		kidney	21 week		hypertension; hypotension	
2985	E-MTAB-10031	microarray_1colour_mrna_differential	Homo sapiens	adult	bronchus				
2986	E-MTAB-10036	microarray_1colour_mrna_differential	Mus musculus	adult	colon	7 week			male
2987	E-MTAB-10041	rnaseq_mrna_differential	Mus musculus	adult	colon	12 to 16 year			
2988	E-MTAB-10055	microarray_1colour_mrna_differential	Mus musculus	adult	retina				male
2989	E-MTAB-10056	rnaseq_mrna_differential	Mus musculus	adult	spleen				
2990	E-MTAB-10059	microarray_1colour_mrna_differential	Drosophila melanogaster	third instar larva stage	wing disc				
2991	E-MTAB-10068	rnaseq_mrna_differential	Danio rerio	late embryonic stage	eye	5 day			
2992	E-MTAB-10083	rnaseq_mrna_differential	Mus musculus	embryonic stage 13	embryonic structure			NA	
2993	E-MTAB-10087	rnaseq_mrna_differential	Mus musculus	adult	peritoneum	10 to 12 week			male
2994	E-MTAB-1009	microarray_1colour_mrna_differential	Arabidopsis thaliana		etiolated seedling; undifferentiated tissue culture	7 day			
2995	E-MTAB-10104	rnaseq_mrna_differential	Mus musculus	embryo	brain	17 day			
2996	E-MTAB-10106	rnaseq_mrna_differential	Oryza sativa Japonica Group	whole flower opening stage	anther				
2997	E-MTAB-10149	microarray_1colour_mrna_differential	Mus musculus	adult	mammary gland			breast adenocarcinoma	female
2998	E-MTAB-10226	microarray_1colour_mrna_differential	Mus musculus	adult	heart	10 week, 11 week, 13 week; 12 week, 13 week, 10 week; 8 week, 10 week, 9 week; 9 week			female; female, male
2999	E-MTAB-10232	rnaseq_mrna_differential	Homo sapiens	adult	blood	47 year, 36 year, 44 year, 40 year, 55 year, 50 year, 45 year, 42 year, 53 year, 48 year, 43 year, 52 year, 49 year, 57 year, 46 year, 54 year		HIV-infection and hepatitis C virus infection	female, male
3000	E-MTAB-10233	rnaseq_mrna_differential	Mus musculus	adult; zygote	oocyte; zygote			normal	female
3001	E-MTAB-10238	rnaseq_mrna_differential	Mus musculus	adult	colon				female, male; male
3002	E-MTAB-1027	microarray_1colour_mrna_differential	Homo sapiens		bronchus			normal	male
3003	E-MTAB-10282	microarray_1colour_mrna_differential	Arabidopsis thaliana	adult	leaf	8 week			
3004	E-MTAB-10292	microarray_1colour_mrna_differential	Homo sapiens	embryo	lung			normal	
3005	E-MTAB-10293	rnaseq_mrna_differential	Mus musculus	adult	sciatic nerve	8 to 12 week			female
3006	E-MTAB-10304	rnaseq_mrna_differential	Homo sapiens	adult	esophagogastric junction			esophageal adenocarcinoma	
3007	E-MTAB-10308	rnaseq_mrna_differential	Homo sapiens		blood			childhood B acute lymphoblastic leukemia	
3008	E-MTAB-1035	microarray_1colour_mrna_differential	Mus musculus	adult; embryonic day 14.5; embryonic day 15.5	blood; bone marrow; liver				female; mixed sex
3009	E-MTAB-104	microarray_1colour_mrna_differential	Rattus norvegicus		bladder	2 month		cancer	female
3010	E-MTAB-10582	rnaseq_mrna_baseline	Rattus norvegicus	adult; old	tibialis anterior	15 month; 27 month	wild type genotype		male
3011	E-MTAB-10583	rnaseq_mrna_baseline	Rattus norvegicus	adult; old; young	gastrocnemius	12 month; 18 month; 21 month; 24 month; 27 month; 6 month	wild type genotype		male
3012	E-MTAB-1066	microarray_1colour_mrna_differential	Drosophila melanogaster						
3013	E-MTAB-10693	rnaseq_mrna_differential	Caenorhabditis elegans	adult	whole organism	1 day			hermaphrodite
3014	E-MTAB-1075	microarray_1colour_mrna_differential	Homo sapiens		bone marrow; peripheral blood			acute myeloid leukemia	
3015	E-MTAB-108	microarray_1colour_mrna_differential	Homo sapiens						male
3016	E-MTAB-10847	rnaseq_mrna_baseline	Zea mays	11 days after silk emergence; 15 days after silk emergence; 3 days after silk emergence; 7 days after silk emergence	silk		wild type genotype		
3017	E-MTAB-10864	rnaseq_mrna_differential	Mus musculus		spleen			normal	
3018	E-MTAB-10915	rnaseq_mrna_differential	Homo sapiens	embryo stage	blastocyst				
3019	E-MTAB-10957	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	leaf	2 week			
3020	E-MTAB-10958	rnaseq_mrna_differential	Homo sapiens	embryo stage	blastocyst			normal	
3021	E-MTAB-11005	rnaseq_mrna_baseline	Oryza sativa Japonica Group	0 seed germination stage; FL.04 end of flowering stage; sporophyte vegetative stage	anther wall; leaf collar; leaf sheath; ligule; root hair	3 month; 3 to 4 day; 5 to 6 week	wild type genotype		
3022	E-MTAB-1131	microarray_1colour_mrna_differential	Homo sapiens					chronic lymphocytic leukemia	male
3023	E-MTAB-11442	rnaseq_mrna_baseline	Mus musculus	adult	spleen	8 week	Zbtb20-GFP; FoxP3-RFP		female
3024	E-MTAB-11468	rnaseq_mrna_differential	Homo sapiens						
3025	E-MTAB-11476	rnaseq_mrna_differential	Homo sapiens	adult	pancreas			pancreatic ductal adenocarcinoma	male
3026	E-MTAB-1160	microarray_1colour_mrna_differential	Homo sapiens						
3027	E-MTAB-11620	rnaseq_mrna_differential	Homo sapiens	adult	lung			lung adenocarcinoma	
3028	E-MTAB-11622	rnaseq_mrna_baseline	Homo sapiens	adult	spleen	82 year,91 year,41 year,70 year; 91 year,82 year,41 year,70 year		organ donor	female,male
3029	E-MTAB-11671	rnaseq_mrna_baseline	Homo sapiens	infant,juvenile stage; juvenile stage	blood	1 month,2 month,36 month,6 month,10 month,5 month,3 month; 12 month,60 month,35 month,65 month,0 month,20 month,9 month,5 month; 138 month,33 month,90 month,102 month,61 month,150 month,78 month,42 month,54 month; 18 month,31 month,51 month,183 month,13 month,21 month,207 month,4 month,6 month,9 month,64 month,38 month,25 month,15 month,55 month,195 month,185 month,12 month,164 month,27 month,37 month,57 month,65 month,20 month,30 month,5 month,10 month,24 month,44 month,1 month,63 month,8 month,59 month,11 month,3 month,26 month,96 month; 18 month,77 month,93 month,38 month,74 month,63 month,142 month,138 month,141 month,36 month,17 month,81 month,91 month,145 month,26 month,86 month,56 month; 202 month,122 month,212 month,117 month,107 month,213 month,162 month,133 month,123 month,148 month,138 month,52 month,208 month,160 month,205 month,195 month,125 month,185 month,110 month,140 month,170 month,184 month,121 month,116 month,201 month,211 month,156 month,192 month,172 month,197 month,104 month,171 month,187 month,181 month,186 month,196 month,131 month,134 month,154 month,214 month,169 month,204 month; 22 month,12 month,120 month,19 month,75 month,13 month,58 month,68 month,49 month,163 month,40 month,10 month,64 month,94 month,34 month,2 month,148 month,45 month,15 month,62 month,100 month,91 month,109 month; 28 month,1 month,12 month,63 month,21 month,27 month,25 month,61 month,10 month,34 month,3 month; 28 month,12 month,70 month,65 month,4 month,68 month,29 month,40 month,20 month,64 month,104 month,15 month,105 month; 31 month,4 month,39 month,6 month,0 month,9 month,5 month,10 month,1 month,7 month,2 month,8 month,15 month,17 month,11 month,16 month,3 month,26 month; 31 month,51 month,156 month,106 month,40 month,113 month,157 month,82 month,8 month,83 month,191 month,188 month,45 month,168 month,141 month,144 month,154 month,135 month,3 month,96 month,56 month; 41 month,51 month,31 month,18 month,21 month,4 month,64 month,78 month,48 month,94 month,54 month,7 month,25 month,15 month,35 month,12 month,111 month,19 month,67 month,85 month,39 month,30 month,24 month,10 month,5 month,44 month,59 month,8 month,99 month,134 month,61 month,16 month,76 month,56 month,13 month,23 month,33 month,6 month,9 month,163 month,117 month,92 month,82 month,2 month,52 month,17 month,42 month,22 month,60 month,37 month,57 month,77 month,49 month,40 month,20 month,113 month,34 month,139 month,104 month,63 month,89 month,11 month,26 month,3 month,46 month,86 month; 47 month,18 month,60 month,183 month,116 month,37 month,39 month,9 month,64 month,14 month,44 month,7 month,124 month,2 month,15 month,36 month,16 month,32 month		Kawasaki disease; Respiratory Syncytial Virus Infection; Staphylococcus aureus infection; Tuberculosis; adenovirus infection; escherichia coli infection; group A streptococcal infection; influenza; juvenile idiopathic arthritis; malaria; meningococcal infection; pneumococcal infection; rhinovirus infection	female,male
3030	E-MTAB-1171	microarray_1colour_mrna_differential	Mus musculus					erythroleukemia	
3031	E-MTAB-11866	rnaseq_mrna_differential	Mus musculus	adult	bone marrow	6 to 8 week			male
3032	E-MTAB-11867	rnaseq_mrna_differential	Mus musculus	adult	bone marrow	6 to 8 week			female, male
3033	E-MTAB-11876	rnaseq_mrna_differential	Solanum lycopersicum		root				
3034	E-MTAB-11880	rnaseq_mrna_differential	Solanum lycopersicum		root				
3035	E-MTAB-1192	microarray_1colour_mrna_differential	Mus musculus	embryonic day 17.5; postnatal day 5				normal	male
3036	E-MTAB-1228	microarray_1colour_mrna_differential	Drosophila melanogaster	adult	antenna	2 to 8 day			mixed sex
3037	E-MTAB-1238	microarray_1colour_mrna_differential	Homo sapiens			5 year, 6 year, 4 year		down syndrome	female, male
3038	E-MTAB-1264	microarray_1colour_mrna_differential	Arabidopsis thaliana		hypocotyl; root; shoot; whole plant	12 day			
3039	E-MTAB-1311	microarray_1colour_mrna_differential	Rattus norvegicus						unknown sex
3040	E-MTAB-1333	microarray_1colour_mrna_differential	Caenorhabditis elegans	late L4					
3041	E-MTAB-1344	microarray_1colour_mrna_differential	Arabidopsis thaliana		whole organism				
3042	E-MTAB-1354	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	primary root elongation zone; root meristem				
3043	E-MTAB-1356	microarray_1colour_mrna_differential	Homo sapiens		bone marrow, peripheral blood			acute myeloid leukemia	
3044	E-MTAB-1391	microarray_1colour_mrna_differential	Mus musculus	neonatal	head				
3045	E-MTAB-1404	microarray_1colour_mrna_differential	Mus musculus	young adult	pancreas	12 to 14 week			
3046	E-MTAB-1422	microarray_1colour_mrna_differential	Homo sapiens	adult	bone marrow				female, male
3047	E-MTAB-1425	microarray_1colour_mrna_differential	Homo sapiens			11 year, 10 year, 9 year; 26 year, 12 year, 15 year, 20 year, 6 year, 23 year, 3 year, 18 year, 17 year, 7 year, 14 year, 11 year, 4 year, 30 year, 5 year, 19 year, 2 year, 13 year, 16 year, 39 year, 10 year, 21 year, 8 year, 24 year, 9 year		asthma; unknown	female, male
3048	E-MTAB-1430	microarray_1colour_mrna_differential	Gallus gallus	embryo	retina	3 day			
3049	E-MTAB-1483	microarray_1colour_mrna_differential	Populus trichocarpa	sapling	developing xylem; elongation zone	3.5 month			
3050	E-MTAB-1519	microarray_1colour_mrna_differential	Mus musculus	adult	amygdala	3 month			
3051	E-MTAB-1567	microarray_1colour_mrna_differential	Rattus norvegicus		hippocampus			acquired epilepsy	
3052	E-MTAB-1569	microarray_1colour_mrna_differential	Mus musculus			7 month			
3053	E-MTAB-1582	microarray_1colour_mrna_differential	Arabidopsis thaliana		root	50 day			
3054	E-MTAB-1596	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism	14 day			
3055	E-MTAB-1624	microarray_1colour_mrna_differential	Oryza sativa Japonica Group	seedling, two leaves visible, three leaves visible	shoot axis, vascular leaf	2 week			
3056	E-MTAB-1625	rnaseq_mrna_differential	Oryza sativa Japonica Group	seedling, two leaves visible, three leaves visible	shoot axis, vascular leaf	2 week			
3057	E-MTAB-1679	microarray_1colour_mrna_differential	Mus musculus						
3058	E-MTAB-1680	microarray_1colour_mrna_differential	Mus musculus	neonate	aorta	5 week			
3059	E-MTAB-1690	microarray_1colour_mrna_differential	Homo sapiens		repiratory tract	45 year, 53 year, 58 year; 48 year; 52 year, 69 year, 53 year, 63 year, 60 year; 68 year, 65 year, 48 year, 52 year, 61 year, 49 year, 58 year; 73 year, 52 year, 57 year, 44 year, 60 year		chronic obstructive pulmonary disease; head and neck cancer; head and neck cancer and chronic obstructive pulmonary disease; non-small cell lung cancer; non-small cell lung cancer and chronic obstructive pulmonary disease	female, male; male
3060	E-MTAB-1722	microarray_1colour_mrna_differential	Mus musculus						
3061	E-MTAB-1729	rnaseq_mrna_differential	Triticum aestivum	anthesis	spikelet floret				
3062	E-MTAB-1733	rnaseq_mrna_baseline	Homo sapiens	adult	adipose tissue; adrenal gland; animal ovary; appendix; bladder; bone marrow; cerebral cortex; colon; duodenum; endometrium; esophagus; gall bladder; heart; kidney; liver; lung; lymph node; pancreas; placenta; prostate; salivary gland; skin; small intestine; spleen; stomach; testis; thyroid			normal	
3063	E-MTAB-1744	microarray_1colour_mrna_differential	Mus musculus	Theiler Stage 23	humerus				
3064	E-MTAB-1770	microarray_1colour_mrna_differential	Mus musculus	adult	brain	3 month			male
3065	E-MTAB-1776	rnaseq_mrna_differential	Homo sapiens					chronic lymphocytic leukemia	
3066	E-MTAB-1900	microarray_1colour_mrna_differential	Homo sapiens					breast cancer; glioblastoma; leukemia	female; male
3067	E-MTAB-1913	rnaseq_mrna_differential	Oryza sativa Indica group	seedling, two leaves visible, three leaves visible	shoot, vascular leaf	2 week			
3068	E-MTAB-1914	rnaseq_mrna_differential	Oryza sativa Indica group	seedling, two leaves visible, three leaves visible	shoot, vascular leaf	2 week			
3069	E-MTAB-1925	microarray_1colour_mrna_differential	Homo sapiens	adult	motor cortex			amyotrophic lateral sclerosis	female
3070	E-MTAB-1929	rnaseq_mrna_differential	Mus musculus	embryonic day 15.5; embryonic day 18.5	whole organism				
3071	E-MTAB-1940	microarray_1colour_mrna_differential	Homo sapiens		bladder	68 year, 65 year, 51 year, 76 year, 82 year, 71 year, 79 year, 74 year, 59 year, 53 year, 63 year, 56 year, 48 year, 60 year, 52 year, 67 year, 75 year, 78 year, 89 year, 30 year, 72 year, 69 year, 61 year, 55 year, 66 year, 50 year, 95 year, 58 year, 77 year, 84 year, 73 year, 49 year, 57 year, 46 year, 70 year, 54 year, 62 year		urothelial carcinoma	female, male
3072	E-MTAB-1963	rnaseq_mrna_differential	Mus musculus		bone marrow	8 to 12 week			female
3073	E-MTAB-2029	microarray_1colour_mrna_differential	Rattus norvegicus		heart			hyperthyroid; triiodothyronine-induced hyperthyroidism	
3074	E-MTAB-2031	rnaseq_mrna_differential	Homo sapiens						male
3075	E-MTAB-2037	rnaseq_mrna_baseline	Oryza sativa Japonica Group	0-7 days after flowering; 7 days after germination; 7 days before flowering; 7 days before flowering to 7 days after flowering	callus; leaf; post-flowering panicle; pre-flowering panicle; root; seed; shoot				
3076	E-MTAB-2039	rnaseq_mrna_baseline	Oryza sativa Japonica Group	20 days after sowing; 50 days after sowing; 60 days after sowing; 65 days after sowing; 65 days after sowing, 5 days after pollination; 70 days after sowing, 10 days after pollination; 85 days after sowing, 25 days after pollination	anther; early inflorescence; emerging inflorescence; endosperm; leaf; pistil; plant embryo; primordial inflorescence; seed; seed 10 days after pollination; seed 5 days after pollination; whole post-emergence inflorescence				
3077	E-MTAB-2137	rnaseq_mrna_baseline	Triticum aestivum	10 days post anthesis; 20 days post anthesis; 30 days post anthesis	aleurone layer; aleurone layer and central endosperm; central endosperm; endosperm; transfer cell	10 day; 20 day; 30 day			
3078	E-MTAB-2209	microarray_1colour_mrna_differential	Homo sapiens					breast carcinoma	
3079	E-MTAB-2232	microarray_1colour_mrna_differential	Homo sapiens		blood			normal	
3080	E-MTAB-2262	rnaseq_mrna_baseline	Mus musculus		bone marrow		wild type genotype		
3081	E-MTAB-2266	rnaseq_mrna_differential	Mus musculus	embryonic day 15.5; juvenile stage; post-juvenile adult stage; postnatal day 12; postnatal day 4; postnatal day 60	embryo; pancreas	12 day; 4 day; 60 day; not applicable			
3082	E-MTAB-2277	rnaseq_mrna_differential	Homo sapiens						
3083	E-MTAB-2287	microarray_1colour_mrna_differential	Arabidopsis thaliana			4 week			
3084	E-MTAB-2297	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism	8 day			
3085	E-MTAB-2328	rnaseq_mrna_baseline	Mus musculus	embryonic day 15.5; embryonic day 18.5; postnatal day 22; postnatal day 29; postnatal day 4	brain; liver		wild type genotype		
3086	E-MTAB-2330	rnaseq_mrna_differential	Ovis aries	lamb	prescapular lymph node			SSBP/1 infected	male
3087	E-MTAB-2349	rnaseq_mrna_differential	Homo sapiens						female
3088	E-MTAB-2354	microarray_1colour_mrna_differential	Mus musculus					lymphoma	
3089	E-MTAB-2358	microarray_1colour_mrna_differential	Homo sapiens			36.95 year, 56.58 year, 30.54 year, 46.15 year, 27.98 year, 28.77 year, 41.37 year, 56.56 year, 67.68 year, 59 year, 39.84 year, 31.88 year, 74.77 year, 48.79 year, 30.51 year		glioma	female, male
3090	E-MTAB-2382	microarray_1colour_mrna_differential	Homo sapiens		peripheral blood			acute myeloid leukemia	
3091	E-MTAB-2397	rnaseq_mrna_differential	Homo sapiens		lung				
3092	E-MTAB-2399	rnaseq_mrna_differential	Homo sapiens		blood				
3093	E-MTAB-2439	microarray_1colour_mrna_differential	Mus musculus		soleus muscle				
3094	E-MTAB-2445	microarray_1colour_mrna_differential	Mus musculus	adult	liver	8 to 12 week			
3095	E-MTAB-2451	microarray_1colour_mrna_differential	Sus scrofa		blood				
